bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),ports-long.yml,8,138,4612,19,0.029524,0.000388,0.037127,0.067039
Small (<100 lines),ports-long.yml,8,138,4612,20,0.029462,0.000383,0.036962,0.066807
Small (<100 lines),ports-long.yml,8,138,4612,21,0.030429,0.0004,0.036981,0.06781
Small (<100 lines),ports-long.yml,8,138,4612,22,0.029475,0.000402,0.036877,0.066754
Small (<100 lines),ports-long.yml,8,138,4612,23,0.029519,0.000377,0.036696,0.066592
Small (<100 lines),ports-long.yml,8,138,4612,24,0.029385,0.000347,0.036616,0.066348
Small (<100 lines),ports-long.yml,8,138,4612,25,0.029966,0.000389,0.037653,0.068008
Small (<100 lines),ports-long.yml,8,138,4612,26,0.03006,0.000453,0.037387,0.0679
Small (<100 lines),ports-long.yml,8,138,4612,27,0.029286,0.000392,0.037069,0.066747
Small (<100 lines),ports-long.yml,8,138,4612,28,0.029282,0.000405,0.036948,0.066635
Small (<100 lines),ports-long.yml,8,138,4612,29,0.028862,0.000416,0.036645,0.065923
Small (<100 lines),ports-short.yml,7,118,4556,0,0.196303,0.008448,0.249072,0.453823
Small (<100 lines),ports-short.yml,7,118,4556,1,0.081826,0.001822,0.127916,0.211564
Small (<100 lines),ports-short.yml,7,118,4556,2,0.057893,0.001629,0.118319,0.177841
Small (<100 lines),ports-short.yml,7,118,4556,3,0.056739,0.001638,0.116832,0.175209
Small (<100 lines),ports-short.yml,7,118,4556,4,0.057933,0.001558,0.114288,0.173779
Small (<100 lines),ports-short.yml,7,118,4556,5,0.056721,0.001577,0.11246,0.170758
Small (<100 lines),ports-short.yml,7,118,4556,6,0.056157,0.001524,0.111072,0.168753
Small (<100 lines),ports-short.yml,7,118,4556,7,0.055199,0.001503,0.111678,0.16838
Small (<100 lines),ports-short.yml,7,118,4556,8,0.056595,0.001582,0.110782,0.168959
Small (<100 lines),ports-short.yml,7,118,4556,9,0.058678,0.001572,0.11569,0.17594
Small (<100 lines),ports-short.yml,7,118,4556,10,0.057421,0.00159,0.114761,0.173772
Small (<100 lines),ports-short.yml,7,118,4556,11,0.057312,0.001541,0.115538,0.174391
Small (<100 lines),ports-short.yml,7,118,4556,12,0.056042,0.001538,0.119133,0.176713
Small (<100 lines),ports-short.yml,7,118,4556,13,0.059637,0.001652,0.119494,0.180783
Small (<100 lines),ports-short.yml,7,118,4556,14,0.059511,0.00161,0.119573,0.180694
Small (<100 lines),ports-short.yml,7,118,4556,15,0.05946,0.001618,0.119224,0.180302
Small (<100 lines),ports-short.yml,7,118,4556,16,0.058533,0.001616,0.119165,0.179314
Small (<100 lines),ports-short.yml,7,118,4556,17,0.058372,0.001641,0.119117,0.17913
Small (<100 lines),ports-short.yml,7,118,4556,18,0.058146,0.001694,0.11886,0.1787
Small (<100 lines),ports-short.yml,7,118,4556,19,0.058024,0.001588,0.116976,0.176588
Small (<100 lines),ports-short.yml,7,118,4556,20,0.05591,0.001514,0.113942,0.171366
Small (<100 lines),ports-short.yml,7,118,4556,21,0.056351,0.001543,0.114915,0.172809
Small (<100 lines),ports-short.yml,7,118,4556,22,0.066048,0.001641,0.114628,0.182317
Small (<100 lines),ports-short.yml,7,118,4556,23,0.052323,0.001489,0.104786,0.158598
Small (<100 lines),ports-short.yml,7,118,4556,24,0.052175,0.001446,0.103832,0.157453
Small (<100 lines),ports-short.yml,7,118,4556,25,0.050567,0.001314,0.097173,0.149054
Small (<100 lines),ports-short.yml,7,118,4556,26,0.047785,0.001335,0.096265,0.145385
Small (<100 lines),ports-short.yml,7,118,4556,27,0.046942,0.001401,0.096336,0.144679
Small (<100 lines),ports-short.yml,7,118,4556,28,0.046492,0.001359,0.096469,0.14432
Small (<100 lines),ports-short.yml,7,118,4556,29,0.047778,0.001395,0.089311,0.138484
Small (<100 lines),profiles.yml,8,124,4600,0,0.189873,0.007908,0.23997,0.437751
Small (<100 lines),profiles.yml,8,124,4600,1,0.077663,0.001789,0.113414,0.192866
Small (<100 lines),profiles.yml,8,124,4600,2,0.045533,0.001415,0.06175,0.108698
Small (<100 lines),profiles.yml,8,124,4600,3,0.034491,0.000605,0.044427,0.079523
Small (<100 lines),profiles.yml,8,124,4600,4,0.03224,0.000514,0.042906,0.07566
Small (<100 lines),profiles.yml,8,124,4600,5,0.030195,0.000452,0.04226,0.072907
Small (<100 lines),profiles.yml,8,124,4600,6,0.029881,0.000456,0.04248,0.072817
Small (<100 lines),profiles.yml,8,124,4600,7,0.031455,0.000474,0.042016,0.073945
Small (<100 lines),profiles.yml,8,124,4600,8,0.031324,0.000491,0.042066,0.073881
Small (<100 lines),profiles.yml,8,124,4600,9,0.031079,0.000486,0.042339,0.073904
Small (<100 lines),profiles.yml,8,124,4600,10,0.0308,0.000473,0.042387,0.07366
Small (<100 lines),profiles.yml,8,124,4600,11,0.030996,0.000493,0.041735,0.073224
Small (<100 lines),profiles.yml,8,124,4600,12,0.030163,0.000464,0.041551,0.072178
Small (<100 lines),profiles.yml,8,124,4600,13,0.030349,0.000464,0.041872,0.072685
Small (<100 lines),profiles.yml,8,124,4600,14,0.028766,0.000454,0.041371,0.070591
Small (<100 lines),profiles.yml,8,124,4600,15,0.03035,0.000459,0.041002,0.071811
Small (<100 lines),profiles.yml,8,124,4600,16,0.030062,0.00046,0.040899,0.071421
Small (<100 lines),profiles.yml,8,124,4600,17,0.029709,0.000416,0.046927,0.077052
Small (<100 lines),profiles.yml,8,124,4600,18,0.031268,0.000489,0.046431,0.078188
Small (<100 lines),profiles.yml,8,124,4600,19,0.032996,0.000477,0.044682,0.078155
Small (<100 lines),profiles.yml,8,124,4600,20,0.032986,0.000475,0.0445,0.077961
Small (<100 lines),profiles.yml,8,124,4600,21,0.032762,0.0005,0.044352,0.077614
Small (<100 lines),profiles.yml,8,124,4600,22,0.030758,0.000476,0.045894,0.077128
Small (<100 lines),profiles.yml,8,124,4600,23,0.032441,0.00049,0.045034,0.077965
Small (<100 lines),profiles.yml,8,124,4600,24,0.031525,0.000526,0.044961,0.077012
Small (<100 lines),profiles.yml,8,124,4600,25,0.03088,0.000521,0.045,0.076401
Small (<100 lines),profiles.yml,8,124,4600,26,0.031208,0.000489,0.045052,0.076749
Small (<100 lines),profiles.yml,8,124,4600,27,0.031069,0.000468,0.044888,0.076425
Small (<100 lines),profiles.yml,8,124,4600,28,0.030651,0.000467,0.044933,0.076051
Small (<100 lines),profiles.yml,8,124,4600,29,0.032747,0.000492,0.044276,0.077515
Small (<100 lines),secrets.yml,9,136,4608,0,0.266974,0.008942,0.330741,0.606657
Small (<100 lines),secrets.yml,9,136,4608,1,0.105814,0.002602,0.182334,0.29075
Small (<100 lines),secrets.yml,9,136,4608,2,0.093108,0.002397,0.16206,0.257565
Small (<100 lines),secrets.yml,9,136,4608,3,0.084608,0.002101,0.149894,0.236603
Small (<100 lines),secrets.yml,9,136,4608,4,0.083692,0.001992,0.146111,0.231795
Small (<100 lines),secrets.yml,9,136,4608,5,0.081898,0.002003,0.137879,0.22178
Small (<100 lines),secrets.yml,9,136,4608,6,0.074345,0.001741,0.13172,0.207806
Small (<100 lines),secrets.yml,9,136,4608,7,0.073091,0.001686,0.125301,0.200078
Small (<100 lines),secrets.yml,9,136,4608,8,0.070626,0.001679,0.126502,0.198807
Small (<100 lines),secrets.yml,9,136,4608,9,0.067002,0.001526,0.120363,0.188891
Small (<100 lines),secrets.yml,9,136,4608,10,0.119953,0.001546,0.125253,0.246752
Small (<100 lines),secrets.yml,9,136,4608,11,0.068417,0.001524,0.117426,0.187367
Small (<100 lines),secrets.yml,9,136,4608,12,0.063574,0.001329,0.105533,0.170436
Small (<100 lines),secrets.yml,9,136,4608,13,0.05941,0.001308,0.103688,0.164406
Small (<100 lines),secrets.yml,9,136,4608,14,0.05712,0.001259,0.101186,0.159565
Small (<100 lines),secrets.yml,9,136,4608,15,0.056813,0.001284,0.101193,0.15929
Small (<100 lines),secrets.yml,9,136,4608,16,0.055937,0.00128,0.100685,0.157902
Small (<100 lines),secrets.yml,9,136,4608,17,0.056185,0.001222,0.098793,0.1562
Small (<100 lines),secrets.yml,9,136,4608,18,0.050964,0.001127,0.090312,0.142403
Small (<100 lines),secrets.yml,9,136,4608,19,0.050901,0.001101,0.090607,0.142609
Small (<100 lines),secrets.yml,9,136,4608,20,0.049555,0.001089,0.085284,0.135928
Small (<100 lines),secrets.yml,9,136,4608,21,0.047694,0.001041,0.084756,0.133491
Small (<100 lines),secrets.yml,9,136,4608,22,0.048079,0.001061,0.084667,0.133807
Small (<100 lines),secrets.yml,9,136,4608,23,0.047634,0.001018,0.084686,0.133338
Small (<100 lines),secrets.yml,9,136,4608,24,0.047721,0.001057,0.085678,0.134456
Small (<100 lines),secrets.yml,9,136,4608,25,0.045588,0.001021,0.08194,0.128549
Small (<100 lines),secrets.yml,9,136,4608,26,0.045905,0.001021,0.08248,0.129406
Small (<100 lines),secrets.yml,9,136,4608,27,0.045797,0.001015,0.082183,0.128995
Small (<100 lines),secrets.yml,9,136,4608,28,0.046079,0.000983,0.082055,0.129117
Small (<100 lines),secrets.yml,9,136,4608,29,0.045841,0.001,0.081907,0.128748
Small (<100 lines),services-minimal.yml,3,40,4560,0,0.075079,0.005564,0.111391,0.192034
Small (<100 lines),services-minimal.yml,3,40,4560,1,0.02599,0.000597,0.04661,0.073197
Small (<100 lines),services-minimal.yml,3,40,4560,2,0.015184,0.000486,0.034294,0.049964
