bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,1,0.329097,0.001798,0.446565,0.77746
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,2,0.301791,0.001461,0.349414,0.652666
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,3,0.294341,0.001312,0.339893,0.635546
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,4,0.290645,0.001219,0.341861,0.633725
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,5,0.302901,0.00133,0.357843,0.662074
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,6,0.312761,0.001409,0.350625,0.664795
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,7,0.28927,0.001239,0.318953,0.609462
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,8,0.282351,0.001241,0.317013,0.600605
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,9,0.281828,0.001165,0.313231,0.596224
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,10,0.281634,0.00118,0.314485,0.597299
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,11,0.280425,0.001211,0.312227,0.593863
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,12,0.281893,0.001186,0.313745,0.596824
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,13,0.281509,0.001242,0.326302,0.609053
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,14,0.282313,0.001208,0.330478,0.613999
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,15,0.289292,0.001482,0.316791,0.607565
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,16,0.278864,0.001209,0.313474,0.593547
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,17,0.277979,0.00117,0.313664,0.592813
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,18,0.278114,0.001197,0.312019,0.59133
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,19,0.278105,0.001182,0.32153,0.600817
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,20,0.331438,0.001849,0.259827,0.593114
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,21,0.195452,0.000614,0.196957,0.393023
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,22,0.189104,0.000493,0.195115,0.384712
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,23,0.187005,0.000392,0.186119,0.373516
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,24,0.186345,0.000391,0.185593,0.372329
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,25,0.18454,0.000414,0.185909,0.370863
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,26,0.184495,0.000441,0.185208,0.370144
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,27,0.183938,0.000398,0.203622,0.387958
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,28,0.212273,0.000465,0.210914,0.423652
Small (<100 lines),97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,1711,4624,29,0.22193,0.000559,0.20882,0.431309
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,0,0.297997,0.006413,0.256551,0.560961
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,1,0.195422,0.001689,0.159615,0.356726
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,2,0.25589,0.001813,0.158457,0.41616
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,3,0.199542,0.001391,0.134693,0.335626
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,4,0.199691,0.001142,0.132454,0.333287
