experiment,tool,op,file,service,status,elapsed_s,actual_changed_lines,collateral_preserved
modification,composemorph,image,sysctls.yml,app,OK,0.0041,1,True
modification,yamlcpp-careful,image,sysctls.yml,app,OK,0.0034,2,False
modification,yamlcpp-naive,image,sysctls.yml,app,OK,0.0028,4,False
modification,composemorph,image,ulimits.yml,app,OK,0.0052,1,True
modification,yamlcpp-careful,image,ulimits.yml,app,OK,0.0033,1,True
modification,yamlcpp-naive,image,ulimits.yml,app,OK,0.0029,6,False
modification,composemorph,image,unknown-properties.yml,app,OK,0.0045,2,True
modification,yamlcpp-careful,image,unknown-properties.yml,app,OK,0.003,2,True
modification,yamlcpp-naive,image,unknown-properties.yml,app,OK,0.0031,5,False
modification,composemorph,image,volumes-long.yml,db,OK,0.0046,3,True
modification,yamlcpp-careful,image,volumes-long.yml,db,OK,0.0032,3,True
modification,yamlcpp-naive,image,volumes-long.yml,db,OK,0.0028,9,False
modification,composemorph,image,volumes-short.yml,db,OK,0.0054,3,True
modification,yamlcpp-careful,image,volumes-short.yml,db,OK,0.0032,3,True
modification,yamlcpp-naive,image,volumes-short.yml,db,OK,0.0028,6,False
modification,composemorph,image,preservation-edge-cases.yml,app,OK,0.0048,7,True
modification,yamlcpp-careful,image,preservation-edge-cases.yml,app,OK,0.0026,10,False
modification,yamlcpp-naive,image,preservation-edge-cases.yml,app,OK,0.0028,22,False
modification,composemorph,image,preservation-standard-markers.yml,app,OK,0.0045,5,True
modification,yamlcpp-careful,image,preservation-standard-markers.yml,app,OK,0.0028,7,True
modification,yamlcpp-naive,image,preservation-standard-markers.yml,app,OK,0.0028,23,False
modification,composemorph,hostname,full-featured.yml,web,OK,0.0051,15,True
modification,yamlcpp-careful,hostname,full-featured.yml,web,OK,0.004,29,False
modification,yamlcpp-naive,hostname,full-featured.yml,web,OK,0.0039,56,False
modification,composemorph,env,full-featured.yml,api,OK,0.0048,15,True
modification,yamlcpp-careful,env,full-featured.yml,api,OK,0.0039,29,False
modification,yamlcpp-naive,env,full-featured.yml,api,OK,0.0036,29,False
modification,composemorph,env,minimal-multi-service.yml,app,OK,0.0056,4,
modification,yamlcpp-careful,env,minimal-multi-service.yml,app,OK,0.0032,5,
modification,yamlcpp-naive,env,minimal-multi-service.yml,app,OK,0.0031,5,
modification,composemorph,env,anchors-and-aliases.yml,service-a,OK,0.0045,6,
modification,yamlcpp-careful,env,anchors-and-aliases.yml,service-a,OK,0.003,6,
modification,yamlcpp-naive,env,anchors-and-aliases.yml,service-a,OK,0.0029,6,
modification,composemorph,env,extends-keyword.yml,base,OK,0.0042,2,
modification,yamlcpp-careful,env,extends-keyword.yml,base,OK,0.0027,2,
modification,yamlcpp-naive,env,extends-keyword.yml,base,OK,0.0027,2,
modification,composemorph,env,null-and-empty-values.yml,app,OK,0.0042,4,True
modification,yamlcpp-careful,env,null-and-empty-values.yml,app,OK,0.0026,4,True
modification,yamlcpp-naive,env,null-and-empty-values.yml,app,OK,0.0027,4,True
modification,composemorph,env,quoted-scalar-types.yml,app,OK,0.0026,2,True
