file,size_bytes,elapsed_s,parse_success,save_success,reparse_success,total_lines,output_lines,byte_identical,changed_lines,changed_line_ratio,line_levenshtein,normalized_edit_distance,semantic_status,stderr
rahmanshah__data-engineering__docker_pyspark_docker_32_docker-compose.yml.yml,105,0.0038,True,True,True,7,7,False,1,0.142857,1,0.142857,not requested,
rcdnascimento__worklog-management__docker-compose.yml.yml,271,0.0038,True,True,True,13,12,False,2,0.153846,2,0.153846,not requested,
rcmelendez__xmrig-docker__docker-compose.yml.yml,299,0.0037,True,True,True,12,10,False,3,0.25,3,0.25,not requested,
redis__RedisInsight__redisinsight_api_test_test-runs_re-clu_docker-compose.yml.yml,363,0.0044,True,True,True,24,12,False,14,0.583333,14,0.583333,not requested,
rfahham__projetos-docker__k6-qac_xk6-output-clickhouse_docker-compose.yml.yml,1250,0.0046,True,True,True,57,52,False,10,0.175439,10,0.175439,not requested,
rfjnv__grand-astra__docker-compose.yml.yml,1187,0.0041,True,True,True,48,41,False,12,0.25,12,0.25,not requested,
richardcort__FocusStack__docker-compose.yml.yml,784,0.0034,True,True,True,21,16,False,5,0.238095,5,0.238095,not requested,
rin4ik__vContact__docker-compose.yml.yml,189,0.0033,True,True,True,11,11,False,4,0.363636,4,0.363636,not requested,
robert2030ca__home-center-app-store__Apps_Glances_docker-compose.yml.yml,9195,0.0076,True,True,True,154,103,False,68,0.441558,68,0.441558,not requested,
rodri-gh__simulador_cam__docker-compose.yml.yml,265,0.003,True,True,True,12,11,False,11,0.916667,11,0.916667,not requested,
roj67__ecommerce-api__docker-compose.yml.yml,742,0.0037,True,True,True,48,43,False,8,0.166667,8,0.166667,not requested,
rummannaqvi__xiiops-backend__docker-compose.yml.yml,1274,0.004,True,True,True,42,37,False,7,0.166667,7,0.166667,not requested,
ruos-sovanra__fastapi__docker-compose.yml.yml,479,0.0035,True,True,True,22,20,False,11,0.5,11,0.5,not requested,
sabtaamendes__resume_ts__docker-compose.yml.yml,1271,0.0041,True,True,True,48,46,False,17,0.354167,17,0.354167,not requested,
sajjadium__ctf-archives__ctfs_BRICS_2023_Quals_web_ChadGPT_docker-compose.yml.yml,1042,0.004,True,True,True,52,50,False,3,0.057692,3,0.057692,not requested,
salikhP__experiment-api__docker-compose.yml.yml,616,0.0034,True,True,True,28,26,False,26,0.928571,26,0.928571,not requested,
salmanoffical35__exam-proctoring__docker-compose.yml.yml,842,0.0034,True,True,True,35,32,False,6,0.171429,6,0.171429,not requested,
samudiogo__desafio-backend-btg-pactual__docker-compose.yml.yml,1660,0.0047,True,True,True,70,66,False,5,0.071429,5,0.071429,not requested,
sandeepjangra__valuation-app__docker-compose.yml.yml,2151,0.0047,True,True,True,90,80,False,11,0.122222,11,0.122222,not requested,
saurabhk1624__adb_test__docker-compose.yml.yml,691,0.0034,True,True,True,33,29,False,6,0.181818,6,0.181818,not requested,
sayantanmukh050893__interior-design-site__docker-compose.yml.yml,1368,0.0042,True,True,True,54,49,False,6,0.111111,6,0.111111,not requested,
sceredi__sap-assignment-7__docker-compose.yml.yml,7002,0.0079,True,True,True,278,238,False,53,0.190647,53,0.190647,not requested,
secretarybird97__supabase-docker__docker-compose.yml.bkp.yml,13604,0.0129,True,True,True,405,303,False,115,0.283951,115,0.283951,not requested,
sethforprivacy__self-hosted-services__docker-compose.yml.yml,20595,0.0154,True,True,True,609,545,False,136,0.223317,136,0.223317,not requested,
shalb-docker__prometheus__docker-compose.yml.example.yml,6309,0.005,True,True,True,189,78,False,117,0.619048,117,0.619048,not requested,
sherineAhmedd__Loan-System__docker-compose.yml.yml,1815,0.0042,True,True,True,61,58,False,4,0.065574,4,0.065574,not requested,
shoutem__extensions__shoutem.rss-monitoring_cloud_docker-compose.yml.yml,1140,0.0036,True,True,True,51,47,False,6,0.117647,6,0.117647,not requested,
shu-kob__blockchain-node-docker__ethereum_geth_docker-compose.yml.yml,239,0.0029,True,True,True,12,11,False,1,0.083333,1,0.083333,not requested,
silvertakana__worldwideview__test-compose_docker-compose.yml.yml,158,0.0029,True,True,True,10,8,False,2,0.2,2,0.2,not requested,
sjbuk__docker__claude_docker-compose.yml.yml,1314,0.0036,True,True,True,50,30,False,22,0.44,22,0.44,not requested,
skecskes__reviews-service__docker-compose.yml.yml,951,0.0047,True,True,True,47,47,False,2,0.042553,2,0.042553,not requested,
sky-sharma__docker-react__docker-compose.yml.yml,345,0.0037,True,True,True,20,20,True,0,0.0,0,0.0,not requested,
smlx__test-php-fpm-graceful-exit__docker-compose.yml.yml,183,0.0035,True,True,True,13,13,False,3,0.230769,3,0.230769,not requested,
sokunthaneth-nbc__nbc-home-app__docker-compose.yml.yml,255,0.0039,True,True,True,16,15,False,3,0.1875,3,0.1875,not requested,
soraygoularssm__LangoTV__docker-compose.yml.yml,355,0.0038,True,True,True,20,18,False,3,0.15,3,0.15,not requested,
srgeverson__sql__mysql_docker-compose.yml.yml,1855,0.0042,True,True,True,77,50,False,37,0.480519,37,0.480519,not requested,
ss889__Alleywatch-scraper__docker-compose.yml.yml,612,0.0037,True,True,True,21,20,False,1,0.047619,1,0.047619,not requested,
ssangani__melody__docker-compose.yml.yml,59,0.0032,True,True,True,5,5,True,0,0.0,0,0.0,not requested,
