op,file,service,before,after,total_lines,actual_changed_lines,expected_changed_lines,locality_ratio,baseline_noise_changed_lines,incremental_changed_lines,adjusted_locality_ratio,elapsed_s,status
env,preservation-standard-markers.yml,app,APP_ENV,cm-test-value,32,5,1,0.2,4,1,1.0,0.004,OK
port,full-featured.yml,web,,39999:39999,,,1,,,,,0.0028,"APPLY_FAILED: yaml-cpp: error at line 23, column 9: bad conversion"
port,minimal-multi-service.yml,app,,39999:39999,19,4,1,0.25,3,1,1.0,0.0042,OK
port,ports-long.yml,web,,39999:39999,,,1,,,,,0.0023,"APPLY_FAILED: yaml-cpp: error at line 5, column 9: bad conversion"
port,ports-short.yml,web,,39999:39999,7,1,1,1.0,0,1,1.0,0.0041,OK
port,preservation-standard-markers.yml,app,,39999:39999,32,5,1,0.2,4,1,1.0,0.0043,OK
volume-source,full-featured.yml,api,./api/config,/opt/cm-test-source,,,1,,,,,0.0031,"APPLY_FAILED: yaml-cpp: error at line 64, column 9: bad conversion"
volume-source,minimal-multi-service.yml,db,db-data,/opt/cm-test-source,19,4,1,0.25,3,1,1.0,0.0038,OK
volume-source,external-resources.yml,app,shared-vol,/opt/cm-test-source,24,2,1,0.5,1,1,1.0,0.0047,OK
volume-source,volumes-short.yml,db,db-data,/opt/cm-test-source,9,3,1,0.333333,2,1,1.0,0.0042,OK
extra-host,full-featured.yml,web,,10.10.10.99,118,15,1,0.066667,14,1,1.0,0.0065,OK
network,full-featured.yml,api,,cm-test-network,,,1,,,,,0.0083,APPLY_FAILED: appending to a non-sequence
network,external-resources.yml,app,,cm-test-network,24,2,1,0.5,1,1,1.0,0.0078,OK
network,null-and-empty-values.yml,app,,cm-test-network,,,1,,,,,0.0064,APPLY_FAILED: appending to a non-sequence
network,networks.yml,backend,,cm-test-network,,,1,,,,,0.0063,APPLY_FAILED: appending to a non-sequence
healthcheck-retries,full-featured.yml,web,3,4,118,15,1,0.066667,14,1,1.0,0.0052,OK
healthcheck-retries,healthcheck.yml,api,3,4,9,1,1,1.0,0,1,1.0,0.0041,OK
deploy-cpus,full-featured.yml,web,1.0,9.9,118,15,1,0.066667,14,1,1.0,0.004,OK
deploy-cpus,deploy.yml,worker,2.0,9.9,16,1,1,1.0,0,1,1.0,0.0032,OK
deploy-cpus,preservation-edge-cases.yml,app,1.5,9.9,31,7,1,0.142857,6,1,1.0,0.0035,OK
