op,file,service,before,after,total_lines,actual_changed_lines,expected_changed_lines,locality_ratio,baseline_noise_changed_lines,incremental_changed_lines,adjusted_locality_ratio,elapsed_s,status
image,0kkun__tennis-track__.openapi_docker-compose.yml.yml,swagger-api,stoplight/prism:3,stoplight/prism:cm-test-9.9,32,4,1,0.25,3,1,1.0,0.0058,OK
image,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,web,gitlab/gitlab-ee:latest,gitlab/gitlab-ee:cm-test-9.9,19,13,1,0.076923,13,0,1.0,0.0036,OK
image,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,chromedriver,blueimp/chromedriver,blueimp/chromedriver:cm-test-9.9,31,9,1,0.111111,8,1,1.0,0.0052,OK
image,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,postgres,postgres:15-alpine,postgres:cm-test-9.9,81,13,1,0.076923,12,1,1.0,0.0062,OK
image,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,app-frontend2,registry:5000/projeto-mentoria:optimized,registry:5000/projeto-mentoria:cm-test-9.9,37,8,1,0.125,7,1,1.0,0.0049,OK
image,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,backend,docker-spring-boot:latest,docker-spring-boot:cm-test-9.9,61,24,1,0.041667,24,0,1.0,0.0039,OK
image,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,kafka,confluentinc/cp-kafka:7.5.0,confluentinc/cp-kafka:cm-test-9.9,115,48,1,0.020833,47,1,1.0,0.005,OK
image,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,valhalla,ghcr.io/valhalla/valhalla-scripted:3.8.3,ghcr.io/valhalla/valhalla-scripted:cm-test-9.9,45,31,1,0.032258,30,1,1.0,0.0046,OK
image,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,sonarqube,sonarqube:community,sonarqube:cm-test-9.9,21,2,1,0.5,1,1,1.0,0.0043,OK
image,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,auth-db,postgres:14,postgres:cm-test-9.9,45,9,1,0.111111,8,1,1.0,0.0045,OK
image,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,modsecurity,owasp/modsecurity-crs:4.25-nginx-lts,owasp/modsecurity-crs:cm-test-9.9,93,4,1,0.25,3,1,1.0,0.0064,OK
image,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,catalog-server,catalog-service,catalog-service:cm-test-9.9,64,8,1,0.125,7,1,1.0,0.006,OK
image,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,autobrr,ghcr.io/autobrr/autobrr:latest,ghcr.io/autobrr/autobrr:cm-test-9.9,580,38,1,0.026316,37,1,1.0,0.0168,OK
image,Aish2140__movie-recommender-endee__docker-compose.yml.yml,endee,endeeio/endee-server:latest,endeeio/endee-server:cm-test-9.9,35,5,1,0.2,4,1,1.0,0.0046,OK
image,Akash112004__ChaiGallery__docker-compose.yml.yml,db,postgres:16,postgres:cm-test-9.9,16,4,1,0.25,3,1,1.0,0.0046,OK
image,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,airflow-init,stock_pipeline_airflow:v2,stock_pipeline_airflow:cm-test-9.9,360,50,1,0.02,49,1,1.0,0.0112,OK
image,Alanaktion__artdeck__docker-compose.yml.yml,laravel.test,sail-8.1/app,sail-8.1/app:cm-test-9.9,72,69,1,0.014493,69,0,1.0,0.0065,OK
image,Alexandra2888__eShop__docker-compose.yml.yml,mongo,mongo:6,mongo:cm-test-9.9,48,7,1,0.142857,6,1,1.0,0.0061,OK
image,Alexestgrand__RoyalChess__docker-compose.yml.yml,postgres,postgres:16-alpine,postgres:cm-test-9.9,39,5,1,0.2,4,1,1.0,0.0053,OK
image,Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,postgres,postgres:15,postgres:cm-test-9.9,59,11,1,0.090909,10,1,1.0,0.0052,OK
image,Amrue320__cicd-demo-app__docker-compose.yml.yml,app,${DOCKER_IMAGE:-cicd-demo-app}:${APP_VERSION:-latest},${DOCKER_IMAGE:-cicd-demo-app}:cm-test-9.9,78,17,1,0.058824,16,1,1.0,0.0053,OK
image,AndresHardware__Vaultwarden__docker-compose.yml.txt.yml,vaultwarden,vaultwarden/server:latest,vaultwarden/server:cm-test-9.9,35,3,1,0.333333,2,1,1.0,0.005,OK
image,AnjaliSamrat__Real-states-risks-scorer__docker-compose.yml.yml,postgres,postgis/postgis:15-3.3,postgis/postgis:cm-test-9.9,58,8,1,0.125,7,1,1.0,0.0046,OK
image,Aram8956__LMSPlatform__docker-compose.yml.yml,rabbitmq,rabbitmq:3-management,rabbitmq:cm-test-9.9,58,7,1,0.142857,6,1,1.0,0.0049,OK
image,ArmandoHdzBta__api-spring__docker-compose.yml.yml,db,postgres,postgres:cm-test-9.9,11,2,1,0.5,1,1,1.0,0.0043,OK
image,ArthurLopes191__Projetos-Ulbra__2022-1_PW_Aula_11_docker-lamp-pw-master_docker-compose.yml.yml,db,mysql:8.0,mysql:cm-test-9.9,35,32,1,0.03125,32,0,1.0,0.0045,OK
image,ArturB__RSO__docker-compose.yml.bak.yml,msapp-app,arturbrodzki/rso:msapp,arturbrodzki/rso:cm-test-9.9,43,23,1,0.043478,22,1,1.0,0.005,OK
image,AryanMarwah7781__FitPub__docker-compose.yml.yml,postgres,postgres:15-alpine,postgres:cm-test-9.9,95,17,1,0.058824,16,1,1.0,0.0048,OK
image,AshwinSaklecha__LedgerPay__docker-compose.yml.yml,postgres,postgres:16-alpine,postgres:cm-test-9.9,29,4,1,0.25,3,1,1.0,0.0052,OK
image,BD2KGenomics__dcc-ops__boardwalk_docker-compose.yml.yml,db,postgres:9.6-alpine,postgres:cm-test-9.9,176,12,1,0.083333,11,1,1.0,0.0074,OK
image,Baptiste4321__biblioteque-node_express__backend_docker-compose.yml.yml,db,postgres:15,postgres:cm-test-9.9,58,27,1,0.037037,26,1,1.0,0.0053,OK
image,Bensmina-Anass__streaming-sales-analytics__clickhouse_docker-compose.yml.yml,clickhouse,clickhouse/clickhouse-server:latest,clickhouse/clickhouse-server:cm-test-9.9,31,7,1,0.142857,6,1,1.0,0.0051,OK
image,BinhSilver__sentry_Suport_learning_Japanese-Public__docker-compose.yml.yml,mysql,mysql:8.0.36,mysql:cm-test-9.9,71,7,1,0.142857,6,1,1.0,0.0063,OK
image,BlackAntik__service-oriented-architecture-__kafka_clickhouse_postgresql_docker-compose.yml.yml,clickhouse,clickhouse/clickhouse-server:24.3,clickhouse/clickhouse-server:cm-test-9.9,261,24,1,0.041667,23,1,1.0,0.0086,OK
image,Bleenq-Technology__ai-homelab__docker_ai_compose.ai.yml.yml,bge-m3,ghcr.io/ggml-org/llama.cpp@sha256:8d9129ac859493c23e0db914c6940a729a33d6fe42d9e5ec9ee8a5c667f10e7a,ghcr.io/ggml-org/llama.cpp:cm-test-9.9,551,227,1,0.004405,226,1,1.0,0.0121,OK
image,Bohdan778__quizbot__docker-compose.yml.yml,redis,redis:7,redis:cm-test-9.9,21,3,1,0.333333,2,1,1.0,0.0045,OK
image,Bola-j__SolKey__docker-compose.yml.yml,mailpit,axllent/mailpit:latest,axllent/mailpit:cm-test-9.9,7,1,1,1.0,0,1,1.0,0.0042,OK
image,BorowskaNatalia__mini_data_platform__docker-compose.yml.yml,minio,minio/minio:RELEASE.2024-10-13T13-34-11Z,minio/minio:cm-test-9.9,262,58,1,0.017241,57,1,1.0,0.0075,OK
image,BrianTz79__Portafolio-Brian__docker-compose.yml.yml,cloudflared,cloudflare/cloudflared:latest,cloudflare/cloudflared:cm-test-9.9,15,2,1,0.5,1,1,1.0,0.0039,OK
image,ByteMeDirk__semantic-medallion-data-platform__docker-compose.yml.yml,metabase,metabase/metabase:latest,metabase/metabase:cm-test-9.9,44,6,1,0.166667,5,1,1.0,0.0041,OK
image,CEIJ-GPSDE__GoTracker__docker-compose.yml.yml,nginx,nginx:alpine,nginx:cm-test-9.9,108,19,1,0.052632,18,1,1.0,0.0058,OK
image,CJLove__homelab__ArtifactKeeper_docker-compose.yml.yml,backend,ghcr.io/artifact-keeper/artifact-keeper-backend:${ARTIFACT_KEEPER_VERSION:-latest},ghcr.io/artifact-keeper/artifact-keeper-backend:cm-test-9.9,636,311,1,0.003215,310,1,1.0,0.014,OK
image,CMU-313__docker-intro__docker-compose.yml_2.txt.yml,db,postgres,postgres:cm-test-9.9,15,4,1,0.25,3,1,1.0,0.0065,OK
image,CNR-ISMAR__iws__docker-compose.yml.old.yml,data-dir-conf,geonode/geoserver_data:2.14.x,geonode/geoserver_data:cm-test-9.9,306,124,1,0.008065,123,1,1.0,0.01,OK
image,CarMi0Proggramer__php-erp-challenge__docker-compose.yml.yml,db,postgres:18,postgres:cm-test-9.9,10,1,1,1.0,0,1,1.0,0.0048,OK
image,ChasakisD__MudDataGridEfCore__Api_docker-compose.yml.yml,db,mcr.microsoft.com/mssql/server,mcr.microsoft.com/mssql/server:cm-test-9.9,20,19,1,0.052632,19,0,1.0,0.0035,OK
image,CodesWhat__drydock__test_qa-compose.yml.yml,alpine-latest,mirror.gcr.io/library/alpine:latest,mirror.gcr.io/library/alpine:cm-test-9.9,636,213,1,0.004695,212,1,1.0,0.0132,OK
image,DDS-Solutions__AI-TadPole-OS__docker-compose.yml.yml,grafana,grafana/grafana:latest,grafana/grafana:cm-test-9.9,73,14,1,0.071429,13,1,1.0,0.0055,OK
image,DEDSEC-0010__sentiment-serve__docker-compose.yml.yml,grafana,grafana/grafana:10.2.2,grafana/grafana:cm-test-9.9,56,14,1,0.071429,13,1,1.0,0.0068,OK
image,DamienDESSAUX-M2i__M2i_CDSD_TDTP__spark_demos_lab-etl_docker-compose.yml.yml,spark-master,apache/spark:3.5.3,apache/spark:cm-test-9.9,82,12,1,0.083333,11,1,1.0,0.0064,OK
image,DaniilK87__BookKeeping__docker-compose.yml.yml,myPostgres,postgres,postgres:cm-test-9.9,28,9,1,0.111111,8,1,1.0,0.0053,OK
image,DaniilZebzeev__hse-ml-contrast-checker__docker-compose.yml.yml,cli,hse-contrast-checker-web:latest,hse-contrast-checker-web:cm-test-9.9,38,6,1,0.166667,5,1,1.0,0.0057,OK
image,Darkbuilder646__Task-Gestion__TaskGestion_-_Back_taskgestion_docker-compose.yml.yml,postgres,postgres,postgres:cm-test-9.9,18,5,1,0.2,4,1,1.0,0.0049,OK
image,Darkcode-Git__CoopDigital__infra_docker-compose.yml.yml,postgres,postgres:16-alpine,postgres:cm-test-9.9,41,6,1,0.166667,5,1,1.0,0.0052,OK
image,DataChef07__NewsApp__docker-compose.yml.yml,mongo_db,mongo:latest,mongo:cm-test-9.9,42,12,1,0.083333,11,1,1.0,0.0041,OK
image,DataScientest-Studio__juin23_continu_mlops_meteo__docker-compose.yml.yml,db,postgres:15.4,postgres:cm-test-9.9,62,22,1,0.045455,21,1,1.0,0.0051,OK
image,DataScientest-Studio__juin23_continu_mlops_pompiers__docker-compose.yml.yml,api_admin,willymaillot87/pompiers_admin-api:latest,willymaillot87/pompiers_admin-api:cm-test-9.9,57,18,1,0.055556,17,1,1.0,0.0051,OK
image,Dataman-Cloud__offline-prometheus__docker-compose.yml.tmp.yml,alertmanager,offlineregistry.dataman-inc.com:5000/library/centos7-docker-alertmanager:v0.4.2.2016102502,offlineregistry.dataman-inc.com:5000/library/centos7-docker-alertmanager:cm-test-9.9,38,7,1,0.142857,7,0,1.0,0.0053,OK
image,DavideC0__Esercizi__mongodb_docker-compose.yml.yml,mongo,mongo,mongo:cm-test-9.9,27,21,1,0.047619,21,0,1.0,0.0045,OK
image,DevModeVivek__book-management-system__docker-compose.yml.yml,postgres,postgres:15-alpine,postgres:cm-test-9.9,74,10,1,0.1,9,1,1.0,0.0051,OK
image,Diegoalt-dev__esave__docker-compose.yml.yml,mysql,mysql:latest,mysql:cm-test-9.9,12,4,1,0.25,3,1,1.0,0.0042,OK
image,DigneZzZ__dwg__docker-compose.yml.CLI.yml,adguardhome,adguard/adguardhome:latest,adguard/adguardhome:cm-test-9.9,50,10,1,0.1,9,1,1.0,0.0044,OK
image,DigneZzZ__dwg__docker-compose.yml.DARK.yml,adwireguard,iganesh/adwireguard-dark:v0.108.0-b.50,iganesh/adwireguard-dark:cm-test-9.9,48,19,1,0.052632,18,1,1.0,0.0049,OK
image,DimasHernandez__authentication-microservice__local_environment_docker-compose.yml.yml,authentication-msvc,authentication-msvc:latest,authentication-msvc:cm-test-9.9,144,19,1,0.052632,18,1,1.0,0.0079,OK
image,Dongdongshe__K-Scheduler__libfuzzer_integration_llvm_11.0.1_libcxx_utils_docker_debian9_buildbot_docker-compose.yml.yml,llvm-buildbot-worker,llvm-buildbot-worker,llvm-buildbot-worker:cm-test-9.9,19,5,1,0.2,4,1,1.0,0.0061,OK
image,DouglasVolles__financial-transaction-processor__docker_docker-compose.yml.yml,mssql,mcr.microsoft.com/mssql/server:2022-latest,mcr.microsoft.com/mssql/server:cm-test-9.9,64,7,1,0.142857,6,1,1.0,0.0068,OK
