file,composemorph_changed_lines,yamlcpp_careful_changed_lines,byte_identical_to_each_other,differ_only_in_quoting,composemorph_semantic_match,yamlcpp_careful_semantic_match
DaniilZebzeev__hse-ml-contrast-checker__docker-compose.yml.yml,5,9,False,True,True,False
Darkbuilder646__Task-Gestion__TaskGestion_-_Back_taskgestion_docker-compose.yml.yml,4,4,False,True,True,False
Darkcode-Git__CoopDigital__infra_docker-compose.yml.yml,5,5,False,True,True,True
DataChef07__NewsApp__docker-compose.yml.yml,11,13,False,True,True,False
DataScientest-Studio__juin23_continu_mlops_meteo__docker-compose.yml.yml,21,21,False,True,True,False
DataScientest-Studio__juin23_continu_mlops_pompiers__docker-compose.yml.yml,17,19,False,True,True,False
Dataman-Cloud__offline-prometheus__docker-compose.yml.tmp.yml,7,7,False,True,True,False
DavideC0__Esercizi__mongodb_docker-compose.yml.yml,21,22,False,True,True,False
DevModeVivek__book-management-system__docker-compose.yml.yml,9,14,False,True,True,True
DevYangJC__DataLoom__deplay_docker-compose.yml.yml,5,10,False,True,True,True
Diegoalt-dev__esave__docker-compose.yml.yml,3,4,False,True,True,False
DigneZzZ__dwg__docker-compose.yml.CLI.yml,9,11,False,True,True,False
DigneZzZ__dwg__docker-compose.yml.DARK.yml,18,19,False,True,True,False
DimasHernandez__authentication-microservice__local_environment_docker-compose.yml.yml,18,24,False,True,True,True
Dongdongshe__K-Scheduler__libfuzzer_integration_llvm_11.0.1_libcxx_utils_docker_debian9_buildbot_docker-compose.yml.yml,4,6,False,True,True,False
DouglasVolles__financial-transaction-processor__docker_docker-compose.yml.yml,6,12,False,True,True,True
EBiM-Benchmark__benchmark__task3_isaacsim_docker-compose.yml.yml,14,14,True,False,True,True
EDDI-RobotAcademy__noodle-frontend__docker-compose.yml.yml,1,4,False,True,True,False
EgeOzdemirr__WebProject__docker-compose.yml.yml,9,19,False,True,True,False
EldarTechWizard__medication-reminder__docker-compose.yml.yml,12,14,False,True,True,False
ElizaZadura__grafana-gpu-metrics__docker-compose.yml.yml,4,7,False,True,True,False
EnigmaCurry__d.rymcg.tech__jitsi-meet_docker-compose.yaml.yml,924,924,False,True,True,False
EpicMorg__docker__linux_ecosystem_atlassian_fisheye_1_1.6.0.beta1_docker-compose.yml.yml,0,2,False,True,True,True
Erfan-ffa__UrlShortner-DistributedSystem-__docker-compose.yml.yml,14,24,False,True,True,False
EviL345__praktika_bot__docker-compose.yml.yml,6,8,False,True,True,False
EvilFreelancer__docker-nextcloud__docker-compose.yml.dist.yml,31,31,False,True,True,False
FarhadAlimohammadi-dir__vulnrepro-benchmark__benchmark_release_public_case_000028_src_docker-compose.yml.yml,3,5,False,True,True,False
Fayer00__metric_proyect__docker-compose.yml.yml,3,5,False,True,True,True
Felix-gg-cloud__ClaudeWorkspace__projects_LinguaLeap_docker-compose.yml.yml,4,8,False,True,True,True
FtHalima__Smart-Internship-Freelance-Matching-Platform__smart-match-backend_docker-compose.yml.yml,4,8,False,True,True,False
GEMILUXVII__github-telegram-bot__docker-compose.yml.yml,7,9,False,True,True,False
GenessyX__open-gallery__docker-compose.yml.yml,12,16,False,True,True,True
GetxoUdala__decidim-getxo__docker-compose.yml.old.yml,4,4,True,False,True,True
Goose1216__E-comerce_site__docker-compose.yml.yml,5,6,False,True,True,False
GovindYadav15__chat-widget-client-demo__docker-compose.yml.yml,1,2,False,True,True,False
Grazziano__api-adote-um-amigo__docker-compose.yml.yml,8,8,False,True,True,False
Guilher0__agro_monitor__docker-compose.yml.yml,18,21,False,True,True,True
Gustav0Prado__trab-seguranca__docker-compose.yml.yml,43,44,False,True,True,False
