environment_long,environment_short,extension_field_count,file,line_count,parse_error,ports_long,ports_short,service_count,size_bytes,top_level_section_count,top_level_sections,volumes_long,volumes_short,yaml_nesting_depth
8,0,0,CJLove__homelab__ArtifactKeeper_docker-compose.yml.yml,636,,0,8,12,28510,3,networks;services;volumes,0,22,6
0,0,0,CMU-313__docker-intro__docker-compose.yml_1.txt.yml,10,,0,1,1,177,2,services;version,0,1,4
0,0,0,CMU-313__docker-intro__docker-compose.yml_2.txt.yml,15,,0,1,2,232,2,services;version,0,1,4
5,0,0,CNR-ISMAR__iws__docker-compose.yml.old.yml,306,,0,4,10,9649,3,services;version;volumes,0,28,5
0,1,0,CarMi0Proggramer__php-erp-challenge__docker-compose.yml.yml,10,,0,1,1,232,1,services,0,0,4
1,0,0,ChasakisD__MudDataGridEfCore__Api_docker-compose.yml.yml,20,,0,2,2,417,2,services;version,0,0,4
0,1,0,CilentoX__wpp-sherek-multi__docker-compose.yml.yml,10,,0,0,1,259,1,services,0,2,4
0,6,0,CodesWhat__drydock__test_qa-compose.yml.yml,636,,0,4,36,24468,2,services;volumes,0,7,5
0,2,0,DDS-Solutions__AI-TadPole-OS__docker-compose.yml.yml,73,,0,6,4,2547,1,services,0,7,5
0,2,0,DEDSEC-0010__sentiment-serve__docker-compose.yml.yml,56,,0,3,3,1499,2,services;volumes,0,5,5
0,0,0,DEIPworld__deip-orip-client__docker-compose.yml.old.yml,11,,0,2,1,237,2,services;version,0,1,4
0,4,0,DamienDESSAUX-M2i__M2i_CDSD_TDTP__spark_demos_lab-etl_docker-compose.yml.yml,82,,0,6,4,1944,2,networks;services,0,5,4
2,0,0,DaniilK87__BookKeeping__docker-compose.yml.yml,28,,0,1,2,569,2,services;version,0,0,4
0,2,0,DaniilZebzeev__hse-ml-contrast-checker__docker-compose.yml.yml,38,,0,1,2,893,2,services;version,0,4,5
1,0,0,Darkbuilder646__Task-Gestion__TaskGestion_-_Back_taskgestion_docker-compose.yml.yml,18,,0,1,1,342,3,services;version;volumes,0,1,4
3,0,0,Darkcode-Git__CoopDigital__infra_docker-compose.yml.yml,41,,0,3,3,844,1,services,0,1,4
2,0,0,DataChef07__NewsApp__docker-compose.yml.yml,42,,0,2,3,827,3,services;version;volumes,0,1,4
0,2,0,DataScientest-Studio__juin23_continu_mlops_meteo__docker-compose.yml.yml,62,,0,1,2,1409,4,networks;services;version;volumes,0,5,4
2,0,0,DataScientest-Studio__juin23_continu_mlops_pompiers__docker-compose.yml.yml,57,,0,2,2,1513,3,networks;services;version,0,2,4
0,1,0,Dataman-Cloud__offline-prometheus__docker-compose.yml.tmp.yml,38,,0,3,3,1264,2,services;version,0,4,4
0,1,0,DavideC0__Esercizi__mongodb_docker-compose.yml.yml,27,,0,1,2,514,4,networks;services;version;volumes,0,1,4
2,0,0,DevModeVivek__book-management-system__docker-compose.yml.yml,74,,0,4,3,1789,3,networks;services;volumes,0,4,5
1,0,0,DevYangJC__DataLoom__deplay_docker-compose.yml.yml,33,,0,2,2,777,2,services;volumes,0,2,4
1,0,0,Diegoalt-dev__esave__docker-compose.yml.yml,12,,0,1,1,230,2,services;version,0,0,4
0,2,0,DigneZzZ__dwg__docker-compose.yml.CLI.yml,50,,0,1,2,1770,3,networks;services;version,0,4,6
0,1,0,DigneZzZ__dwg__docker-compose.yml.DARK.yml,48,,0,2,1,1234,3,networks;services;version,0,3,6
3,3,0,DimasHernandez__authentication-microservice__local_environment_docker-compose.yml.yml,144,,0,6,6,4617,3,networks;services;volumes,0,4,4
0,0,0,Dongdongshe__K-Scheduler__libfuzzer_integration_llvm_11.0.1_libcxx_utils_docker_debian9_buildbot_docker-compose.yml.yml,19,,0,0,1,461,3,secrets;services;version,0,1,5
3,0,0,DouglasVolles__financial-transaction-processor__docker_docker-compose.yml.yml,64,,0,5,4,1892,2,services;volumes,0,2,4
0,4,0,EBiM-Benchmark__benchmark__task3_isaacsim_docker-compose.yml.yml,84,,0,0,4,3008,1,services,0,4,4
0,0,0,EDDI-RobotAcademy__noodle-frontend__docker-compose.yml.yml,17,,0,1,1,369,3,networks;services;version,0,2,4
2,0,0,EgeOzdemirr__WebProject__docker-compose.yml.yml,56,,0,6,5,1157,3,services;version;volumes,0,3,4
0,3,0,EldarTechWizard__medication-reminder__docker-compose.yml.yml,95,,0,2,6,1960,4,networks;services;version;volumes,0,8,4
0,1,0,ElizaZadura__grafana-gpu-metrics__docker-compose.yml.yml,37,,0,3,3,809,2,services;version,0,1,9
